Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Subject,Marks
"What is 2+2? | 2+2 ఎంత?",3,4,5,6,B,mathematics,4
"What is the speed of light? | కాంతి వేగం ఎంత?","3×10⁸ m/s | 3×10⁸ మీ/సె","3×10⁶ m/s | 3×10⁶ మీ/సె","3×10⁷ m/s | 3×10⁷ మీ/సె","3×10⁹ m/s | 3×10⁹ మీ/సె",A,physics,4
"What is the chemical formula of water? | నీటి రసాయన సూత్రం ఏది?",H₂O,CO₂,NH₃,CH₄,A,chemistry,4
"What is sin²θ + cos²θ? | sin²θ + cos²θ = ?",0,1,2,-1,B,mathematics,4
"What is the SI unit of energy? | శక్తి యొక్క SI యూనిట్ ఏది?","Watt | వాట్","Joule | జూల్","Newton | న్యూటన్","Pascal | పాస్కల్",B,physics,4
"What is the atomic number of carbon? | కార్బన్ యొక్క పరమాణు సంఖ్య ఎంత?",5,6,7,8,B,chemistry,4
"What is the area of a circle with radius 7 cm? | వ్యాసార్థం 7 సెం.మీ ఉన్న వృత్తం వైశాల్యం ఎంత?","154 sq.cm | 154 చ.సెం.మీ","44 sq.cm | 44 చ.సెం.మీ","22 sq.cm | 22 చ.సెం.మీ","49 sq.cm | 49 చ.సెం.మీ",A,mathematics,4
"What is acceleration due to gravity? | గురుత్వాకర్షణ త్వరణం ఎంత?","9.8 m/s² | 9.8 మీ/సె²","10 m/s² | 10 మీ/సె²","8.9 m/s² | 8.9 మీ/సె²","11 m/s² | 11 మీ/సె²",A,physics,4
"What do acids release in water? | ఆమ్లాలు నీటిలో విడుదల చేసేవి ఏవి?","OH⁻ ions | OH⁻ అయాన్లు","H⁺ ions | H⁺ అయాన్లు","Cl⁻ ions | Cl⁻ అయాన్లు","Na⁺ ions | Na⁺ అయాన్లు",B,chemistry,4
"What is the sum of angles in a triangle? | త్రిభుజంలో కోణాల మొత్తం ఎంత?",90°,180°,270°,360°,B,mathematics,4